"rfrom" "year" "median(allFlights)"
"1" "AT" "2019" 9.485
"2" "AT" "2022" 6.035
"3" "BE" "2019" 13.385
"4" "BE" "2022" 9.785
"5" "BG" "2019" 2.955
"6" "BG" "2022" 2.195
"7" "CY" "2019" 4.74
"8" "CY" "2022" 3.58
"9" "CZ" "2019" 5.375
"10" "CZ" "2022" 3.625
"11" "DE" "2019" 14.73
"12" "DE" "2022" 9.415
"13" "DK" "2019" 10.805
"14" "DK" "2022" 7.955
"15" "EE" "2019" 4.3
"16" "EE" "2022" 3.225
"17" "ES" "2019" 8.625
"18" "ES" "2022" 6.495
"19" "FI" "2019" 5.54
"20" "FI" "2022" 3.515
"21" "FR" "2019" 8.25
"22" "FR" "2022" 5.735
"23" "GB" "2019" 14.85
"24" "GB" "2022" 10.405
"25" "GR" "2019" 6.68
"26" "GR" "2022" 5.285
"27" "HR" "2019" 5.335
"28" "HR" "2022" 4.445
"29" "HU" "2019" 5.88
"30" "HU" "2022" 3.99
"31" "IE" "2019" 7.215
"32" "IE" "2022" 5.49
"33" "IT" "2019" 12.78
"34" "IT" "2022" 8.835
"35" "LT" "2019" 4.45
"36" "LT" "2022" 2.83
"37" "LU" "2019" 8.57
"38" "LU" "2022" 5.67
"39" "LV" "2019" 5.315
"40" "LV" "2022" 3.435
"41" "MT" "2019" 6.245
"42" "MT" "2022" 4.215
"43" "NL" "2019" 17.515
"44" "NL" "2022" 13.02
"45" "PL" "2019" 6.08
"46" "PL" "2022" 4.125
"47" "PT" "2019" 10.765
"48" "PT" "2022" 9.16
"49" "RO" "2019" 3.005
"50" "RO" "2022" 2.045
"51" "SE" "2019" 9.15
"52" "SE" "2022" 6.36
"53" "SI" "2019" 10.9
"54" "SI" "2022" 5.935
"55" "SK" "2019" 3.785
"56" "SK" "2022" 2.615
