period,CDEP,rfrom,driveThresh,numCar,Time,iDest,iFlights,allFlights,DESpopK,DESgdpM,popK
2022Q3,AT,AT,S,90,7.7,2.98,5.99,5.99,444605.8,11592423,8486.5
2022Q3,AT,AT,L,90,8.7,3.646,0.44,0.44,456379.8,11576822,8775.5
2022Q3,BE,BE,S,91,7.7,2.47,9.96,9.96,451060.6,11749418,11354.6
2022Q3,BG,BG,L,76,10.4,0.806,1.35,1.35,461313.4,11689125,7104.6
2022Q3,BG,BG,S,76,9,0.436,2.46,2.46,433987.5,11373061,5032
2022Q3,CY,CY,S,50,11,1.766,4.16,4.16,409609.7,11017170,854.8
2022Q3,CZ,CZ,S,64,8,2.366,3.65,3.65,441818.5,11550859,9500
2022Q3,CZ,CZ,L,64,9.2,2.491,1.03,1.03,457376.4,11624157,10282.7
2022Q3,DE,DE,S,140,7.9,8.475,10,10,465275.1,12081257,81833.7
2022Q3,DE,DE,L,140,9.5,2.651,0.44,0.44,462647.2,11754417,80483.2
2022Q3,DK,DK,S,65,8.1,3.849,8.17,8.17,436637.6,11538755,5715.2
2022Q3,DK,DK,L,65,9.5,2.198,0.23,0.23,397591.4,10608729,5722.4
2022Q3,EE,EE,S,26,8.8,0.593,3.31,3.31,415433.7,11099865,1055.2
2022Q3,EE,EE,L,26,10.4,1.097,1.34,1.34,436632.8,11313915,1317
2022Q3,GR,GR,S,112,9.4,2.431,6.51,6.51,455576.6,11881193,10384.9
2022Q3,GR,GR,L,112,10.5,0.98,0.16,0.16,475894.3,12003009,10124.3
2022Q3,ES,ES,S,123,8.2,4.282,6.96,6.96,459800.5,12027061,44721.5
2022Q3,ES,ES,L,123,9.9,6.349,0.45,0.45,471017.6,11966490,45874.1
2022Q3,FI,FI,S,50,8.8,2.222,3.57,3.58,416719.8,11235225,5043
2022Q3,FI,FI,L,50,10.3,2.452,0.19,0.19,461840.1,11779569,4721.9
2022Q3,FR,FR,S,142,7.6,5.688,5.86,5.86,472150.2,12267422,63884.3
2022Q3,FR,FR,L,142,9.6,5.071,0.29,0.29,457046,11844687,61934.8
2022Q3,HR,HR,S,68,8.6,0.671,4.75,4.75,438930.5,11570808,4031.5
2022Q3,HR,HR,L,68,10.2,0.36,0.2,0.2,454028.6,11653515,4162.1
2022Q3,HU,HU,L,68,9.2,2.121,1.09,1.09,453350.5,11582140,8818.1
2022Q3,HU,HU,S,68,8.1,1.958,4.12,4.12,438325.1,11506596,7928.3
2022Q3,IE,IE,S,41,7.4,11.507,5.69,5.69,441493.2,11608184,4265.5
2022Q3,IT,IT,S,128,8.2,4.429,9.62,9.62,459508,11996167,58445.3
2022Q3,IT,IT,L,128,9.7,1.865,0.45,0.45,462703.7,11920618,60038.8
2022Q3,LT,LT,S,39,8.9,0.189,2.89,2.89,415203.4,11073463,2219
2022Q3,LT,LT,L,39,10.3,0.434,1.28,1.28,451966.5,11597895,2848.1
2022Q3,LU,LU,S,26,7.3,0.655,6.08,6.08,389243,10099482,590.7
2022Q3,LV,LV,L,30,11.1,0.508,1.55,1.55,443100.5,11461535,1950.2
2022Q3,LV,LV,S,30,9.2,0.447,3.48,3.48,421217.3,11235788,1241.8
2022Q3,MT,MT,S,30,8.7,0.942,5,5,418072.2,11231877,460.4
2022Q3,NL,NL,L,100,9.3,1.751,0.66,0.66,459604.1,11579641,15858.5
2022Q3,NL,NL,S,100,7.3,5.346,13.41,13.41,453988.6,11792942,17077.7
2022Q3,PL,PL,S,54,8.4,1.585,4.18,4.18,434719.9,11445197,32032.7
2022Q3,PL,PL,L,54,9.7,2.254,1.33,1.33,457417.7,11670918,39687.3
2022Q3,PT,PT,S,76,8.7,4.334,10.15,10.15,449134.9,11794702,10243.4
2022Q3,RO,RO,S,33,9.1,0.85,2.22,2.22,430723.4,11311601,14225
2022Q3,RO,RO,L,33,10.2,1.144,1.14,1.14,452062.8,11524489,19647
2022Q3,SE,SE,S,68,8.5,4.361,6.51,6.51,441376.9,11652952,9711.2
2022Q3,SE,SE,L,68,9.9,4.021,0.49,0.49,458380.6,11622183,9995.8
2022Q3,SI,SI,S,61,8.8,0.997,6.02,6.03,427610.3,11287367,2066.1
2022Q3,SK,SK,L,60,9.5,0.598,0.21,0.21,314621.7,8571689,3475.1
2022Q3,SK,SK,S,60,8,3.736,2.69,2.69,434346.8,11391984,2823.6
2022Q3,GB,GB,S,96,7.7,8.957,10.61,10.61,462470.3,12061552,66585.8
2022Q3,GB,GB,L,96,9.7,3.705,0.54,0.54,465406,11895361,67687.1
2022Q3,IE,IE,L,41,8.8,15.802,1.35,1.35,458888.5,11665304,4781.8
2022Q3,BE,BE,L,91,9.4,0.764,0.57,0.57,25610.6,281491,11354.6
2022Q3,CY,CY,L,50,11.5,0.129,0.1,0.1,21302.1,239914,854.8
2022Q3,LU,LU,L,26,9.5,0.37,0.27,0.27,21928.1,241773,590.7
2022Q3,MT,MT,L,30,9.7,0.128,0.1,0.1,20513.2,229986,460.4
2022Q3,PT,PT,L,76,10.9,5.202,0.28,0.28,25516.1,314021,9766.1
2022Q3,SI,SI,L,61,10.4,0.564,0.2,0.2,23052.5,257113,2066.1
