period,CDEP,rfrom,CDES,rto,numCar,Time,iDest,iFlights,allFlights,DESpopK,DESgdpM,popK
2022Q1,AT,AT,AT,AT,8,6.3,0.479,0.64,0.64,8774.6,299128,8773.8
2022Q1,BE,BE,AT,AT,20,7.1,0.374,10.17,10.17,8775.8,299128,11355.7
2022Q1,BG,BG,AT,AT,13,7.8,0.334,0.95,0.95,8726.9,297814,6289.9
2022Q1,CY,CY,AT,AT,6,9.9,0.091,1.37,1.37,8118.1,281505,854.8
2022Q1,CZ,CZ,AT,AT,8,7.8,0.307,1.36,1.36,8774.3,299129,7673.5
2022Q1,DE,DE,AT,AT,31,6.8,0.91,6.41,6.41,8774.5,299126,79264.4
2022Q1,DK,DK,AT,AT,18,8.1,0.161,3.58,3.58,8775.5,299129,5669.5
2022Q1,EE,EE,AT,AT,10,9.2,0.058,3.07,3.07,8115.4,281505,1166.4
2022Q1,GR,GR,AT,AT,14,8.5,0.165,1.44,1.44,8115.5,281505,9228.5
2022Q1,ES,ES,AT,AT,19,8.8,0.517,3.03,3.03,8773.5,299127,44112
2022Q1,FI,FI,AT,AT,18,8.4,0.779,1.36,1.36,8774,299126,3993.5
2022Q1,FR,FR,AT,AT,30,7.7,0.432,3.79,3.79,8773.9,299128,49017.3
2022Q1,HR,HR,AT,AT,5,6.8,0.198,0.65,0.65,7707.5,268494,3136.5
2022Q1,HU,HU,AT,AT,9,7.5,0.427,0.95,0.95,8776.1,299127,6700.5
2022Q1,IE,IE,AT,AT,10,8.6,0.1,3.93,3.93,8726,297812,3806.3
2022Q1,IT,IT,AT,AT,18,7.9,0.27,3.58,3.58,8773.9,299127,57237.7
2022Q1,LT,LT,AT,AT,9,8.9,0.015,1.06,1.06,8029,273034,2108.8
2022Q1,LU,LU,AT,AT,6,6.8,0.238,3.31,3.31,8776.2,299129,590.7
2022Q1,LV,LV,AT,AT,9,8.6,0.083,1.7,1.7,8685,295398,1950.3
2022Q1,MT,MT,AT,AT,8,8.1,0.037,1.22,1.22,8164.8,282819,460.5
2022Q1,NL,NL,AT,AT,20,6.9,0.539,10.64,10.64,8776.2,299127,15855.6
2022Q1,PL,PL,AT,AT,11,8.3,0.34,2.38,2.38,8776.1,299129,38557.5
2022Q1,PT,PT,AT,AT,17,9.5,0.261,4.87,4.87,8167,282818,9553.8
2022Q1,RO,RO,AT,AT,13,7.6,0.447,0.91,0.91,8727.1,297812,13992.5
2022Q1,SE,SE,AT,AT,24,8.6,0.254,3.58,3.58,8773.6,299128,8539.2
2022Q1,SI,SI,AT,AT,8,6.5,0.25,0.52,0.52,6300.7,227293,2066.3
2022Q1,SK,SK,AT,AT,6,5.9,0.244,0.38,0.38,7639.6,269077,3475.3
2022Q1,GB,GB,AT,AT,27,8.2,0.795,6.85,6.85,8773.7,299129,66195
2022Q1,AT,AT,BE,BE,17,7.2,0.509,8.86,8.86,11354.2,369017,8775.9
2022Q1,DE,DE,BE,BE,26,7.3,2.176,7.82,7.82,11354.3,369018,74249.4
2022Q1,ES,ES,BE,BE,28,8.1,0.514,10.29,10.29,11354.3,369016,45932.7
2022Q1,FI,FI,BE,BE,14,8.3,0.612,4.3,4.3,11352.2,369015,3361.3
2022Q1,SE,SE,BE,BE,17,7.9,0.336,6.37,6.37,11352.7,369016,8538.8
2022Q1,BG,BG,BE,BE,22,9.2,0.012,4.59,4.59,11354.7,369015,4953
2022Q1,CY,CY,BE,BE,7,11.7,0.004,4.96,4.96,11353.2,369015,854.9
2022Q1,CZ,CZ,BE,BE,13,7.6,0.31,5.41,5.41,11354.2,369014,6606.2
2022Q1,DK,DK,BE,BE,14,7.3,0.58,9.21,9.21,11354.2,369016,5675.5
2022Q1,EE,EE,BE,BE,9,9,0.069,7.6,7.6,11356.1,369014,1166.2
2022Q1,GR,GR,BE,BE,18,9.4,0.195,8.08,8.08,11352.3,369014,9271.7
2022Q1,FR,FR,BE,BE,28,6.9,0.41,3.37,3.37,11355.5,369015,51927
2022Q1,HR,HR,BE,BE,12,7.9,0.101,5.7,5.7,11352.4,369015,3073.9
2022Q1,HU,HU,BE,BE,14,7.9,0.132,8.12,8.12,11355.4,369018,8138.7
2022Q1,IE,IE,BE,BE,9,6.7,0.773,5.73,5.73,11354,369016,3806.4
2022Q1,IT,IT,BE,BE,25,7.6,0.431,10.94,10.94,11352.1,369018,59332.9
2022Q1,LT,LT,BE,BE,12,8.2,0.018,4.98,4.98,11355.7,369016,2352.8
2022Q1,LV,LV,BE,BE,8,9,0.062,4.69,4.69,11352,369016,1950.4
2022Q1,MT,MT,BE,BE,11,8.9,0.038,5.47,5.47,11352.1,369018,460.4
2022Q1,NL,NL,BE,BE,2,5.1,2.013,0.28,0.28,11353.9,369015,12566.6
2022Q1,PL,PL,BE,BE,15,8.4,0.321,8.55,8.55,11351.7,369018,36415.5
2022Q1,PT,PT,BE,BE,20,8.3,0.536,12.99,12.99,11352.5,369015,9885.5
2022Q1,RO,RO,BE,BE,16,8.9,0.033,5.22,5.22,11352.6,369016,14629.6
2022Q1,SI,SI,BE,BE,13,8,0.072,5.9,5.9,11355.6,369017,2067.1
2022Q1,SK,SK,BE,BE,9,7.6,0.544,4.18,4.18,11352.2,369016,4745
2022Q1,GB,GB,BE,BE,20,7,0.883,8.24,8.24,11355.7,369016,65881.2
2022Q1,BE,BE,BE,BE,1,5,0,0,0,4536.4,162651,4474.2
2022Q1,IT,IT,BG,BG,21,9.3,0.031,2.05,2.05,5043,29879,57472.5
2022Q1,GB,GB,BG,BG,19,9,0.079,2.75,2.75,7103,38094,65871.3
2022Q1,AT,AT,BG,BG,12,7.6,0.086,0.97,0.97,6290.4,34941,8116.9
2022Q1,BE,BE,BG,BG,23,9.3,0.02,5.25,5.25,4953.9,29623,11355.6
2022Q1,BG,BG,BG,BG,6,5.1,0.035,0.39,0.39,5678,32517,5677.2
2022Q1,CY,CY,BG,BG,6,8.1,0.007,0.7,0.7,3544.4,23959,854.8
2022Q1,CZ,CZ,BG,BG,9,9.1,0.004,1.06,1.06,4953.3,29622,6605.8
2022Q1,DE,DE,BG,BG,25,9.2,0.052,4.07,4.07,6289,34940,78269.7
2022Q1,DK,DK,BG,BG,8,10,0.005,2.16,2.16,4954.4,29622,5670.3
2022Q1,EE,EE,BG,BG,6,10.9,NA,0.91,0.91,3392.9,23558,1166.5
2022Q1,GR,GR,BG,BG,9,6.4,0.495,0.54,0.54,4952.6,29622,9363.2
2022Q1,ES,ES,BG,BG,17,10.2,0.009,0.69,0.69,4953.8,29622,41884.6
2022Q1,FI,FI,BG,BG,11,10.6,0.011,0.7,0.7,4953.1,29621,2043.4
2022Q1,FR,FR,BG,BG,20,9.8,0.037,1.51,1.51,4953.4,29621,49020.6
2022Q1,HR,HR,BG,BG,7,8.9,0.003,0.25,0.25,3392.9,23558,2772.7
2022Q1,HU,HU,BG,BG,11,7.1,0.039,0.25,0.25,4953.5,29622,6922
2022Q1,IE,IE,BG,BG,9,10.2,0.011,1.28,1.28,4880.2,29278,3806.1
2022Q1,LT,LT,BG,BG,5,11.1,NA,0.49,0.49,3392.7,23559,1650.5
2022Q1,LU,LU,BG,BG,11,9.4,0.002,2.46,2.46,4954.4,29623,590.7
2022Q1,LV,LV,BG,BG,6,11.3,NA,1.33,1.33,4803.5,29221,1704.2
2022Q1,MT,MT,BG,BG,5,10.3,0.004,0.65,0.65,4802.1,29221,460.4
2022Q1,NL,NL,BG,BG,23,9.2,0.044,4.83,4.83,6290.3,34941,15857
2022Q1,PL,PL,BG,BG,9,9.5,0.082,1.41,1.41,4952.9,29623,38228.8
2022Q1,PT,PT,BG,BG,17,11.1,0.004,1.85,1.85,4952.5,29622,9339.1
2022Q1,RO,RO,BG,BG,5,6.5,0.07,0.17,0.17,3393,23559,13552.7
2022Q1,SE,SE,BG,BG,14,10.4,0.006,1.84,1.84,4953.1,29622,7239.9
2022Q1,SI,SI,BG,BG,9,9.9,0.003,0.88,0.88,3393.7,23559,2066.6
2022Q1,SK,SK,BG,BG,4,6,0.088,0.29,0.29,4802.3,29222,3124.2
2022Q1,AT,AT,CY,CY,8,10.7,0.015,1.55,1.55,854.8,17979,8118.1
2022Q1,BE,BE,CY,CY,7,11.8,0.001,4.57,4.57,854.8,17979,11353.7
2022Q1,BG,BG,CY,CY,5,8.4,0.007,0.68,0.68,854.8,17979,3544.6
2022Q1,CZ,CZ,CY,CY,7,13.1,0.003,2.53,2.53,854.9,17979,6605.6
2022Q1,DE,DE,CY,CY,10,11,0.018,4.16,4.16,854.9,17979,78105.6
2022Q1,DK,DK,CY,CY,6,12.3,NA,2.26,2.26,854.8,17979,5084.3
2022Q1,EE,EE,CY,CY,3,12.6,NA,1.01,1.01,854.9,17979,1166.2
2022Q1,GR,GR,CY,CY,7,6.2,0.305,4.38,4.38,854.8,17979,9561
2022Q1,ES,ES,CY,CY,5,12.6,NA,1.39,1.39,854.9,17979,27526.5
